Player,Team,OwnershipTotal,OwnershipTop1000,OwnershipTop100,OwnershipTop10,OwnershipTop1000_chg,OwnershipTop100_chg,OwnershipTop10_chg
Lachie Weller,GCS,0.669161,0.6,0,0,-0.6,-1,0
Lachie Whitfield,GWS,12.2188,3.4,2,0,-11.3,-14,-20
Lachlan Bramble,WBD,0.310742,0,0,0,0,0,0
Lachlan Charleson,PTA,0.118912,0,0,0,-0.1,0,0
Lachlan Cowan,CAR,0.726373,0.1,0,0,0,0,0
Lachlan Gulbin,GCS,1.06011,0.5,1,0,-0.4,-3,-10
Lachlan Keeffe,GWS,2.63065,0.1,0,0,-0.1,-1,0
Lachlan McAndrew,ADE,0.181173,0,0,0,0,0,0
Lachlan McNeil,WBD,0.231093,0,0,0,0,0,0
Lachlan Murphy,ADE,0.0880622,0,0,0,0,0,0
Lachlan Sholl,ADE,0.11779,0,0,0,-0.1,0,0
Lachlan Smith,WBD,0.195195,0.1,0,0,0,0,0
Lachlan Sullivan,COL,0.272039,0,0,0,0,0,0
Laitham Vandermeer,WBD,0.921569,0.2,1,0,0.1,1,0
Lance Collard,STK,0.132374,0,0,0,0,0,0
Lawson Humphries,GEE,1.52342,0.2,0,0,-0.8,-1,0
Leek Aleer,GWS,0.196878,0,0,0,0,0,0
Lennox Hoffman,GEE,0.108255,0,0,0,0,0,0
Leonardo Lombard,GCS,0.571002,0,0,0,-0.1,0,0
Levi Ashcroft,BRL,68.9084,82.2,86,80,12.2,17,20
Lewis Hayes,ESS,0.121717,0,0,0,0,0,0
Lewis Melican,SYD,1.05955,0,0,0,0,0,0
Lewis Young,CAR,0.144153,0,0,0,0,0,0
Liam Baker,WCE,3.54268,1,2,0,-1.2,1,0
Liam Duggan,WCE,0.370198,0,0,0,0,0,0
Liam Fawcett,RIC,0.145836,0,0,0,0,0,0
Liam Henry,STK,0.0426289,0,0,0,0,0,0
Liam Jones,WBD,0.0931104,0,0,0,0,0,0
Liam O'Connell,STK,3.14163,3.7,6,10,0.5,1,10
Liam Reidy,FRE,8.3575,3.8,3,10,-0.5,-3,10
Liam Ryan,WCE,0.106572,0,0,0,0,0,0
Liam Stocker,STK,0.2726,0,0,0,0,0,0
Lincoln McCarthy,BRL,0.0706742,0,0,0,0,0,0
Lloyd Johnston,GCS,0.0392634,0,0,0,0,0,0
Lloyd Meek,HAW,7.96486,1.4,2,0,-0.6,2,0
Loch Rawlinson,WCE,0.0785268,0,0,0,0,0,0
Logan Evans,PTA,0.784707,0.2,0,0,0,0,0
Logan McDonald,SYD,0.0577733,0,0,0,0,0,0
Logan Morris,BRL,0.454895,0,0,0,0,0,0
Logan Smith,GWS,0.218753,0,0,0,0,0,0
Luamon Lual,ESS,0.0768441,0,0,0,0,0,0
Lucas Camporeale,CAR,49.4085,85.6,82,90,6,7,20
Lucca Grego,WCE,0.159297,0,0,0,0,0,0
Luke Beecken,BRL,0.112181,0,0,0,0,0,0
Luke Breust,HAW,0.519399,0,0,0,0,0,0
Luke Cleary,WBD,2.46462,0.5,0,0,-1,0,0
Luke Davies-Uniacke,NTH,5.68703,1.9,2,0,-1.2,-1,0
Luke Jackson,FRE,14.947,5,6,10,0.8,5,0
Luke Kennedy,WBD,0.391512,0.1,0,0,0,0,0
Luke Lloyd,BRL,0.0527252,0,0,0,0,0,0
Luke McDonald,NTH,0.313546,0,0,0,0,0,0
Luke Nankervis,ADE,0.187904,0,0,0,0,0,0
Luke Parker,NTH,14.353,2.7,3,0,-2.4,-3,0
Luke Pedlar,ADE,0.236702,0,0,0,0,0,0
Luke Ryan,FRE,6.67198,0.5,0,0,0.3,0,0
Luke Trainor,RIC,57.5439,87.4,84,60,4.7,4,-40
Luke Urquhart,NTH,0.296158,0,0,0,0,0,0
Luker Kentfield,MEL,0.0185099,0,0,0,0,0,0
Mabior Chol,HAW,0.599608,0,0,0,0,0,0
Mac Andrew,GCS,0.688793,0,0,0,-0.1,0,0
Malakai Champion,WCE,1.8695,1,1,0,-0.1,-1,0
Malcolm Rosas,GCS,0.0549688,0,0,0,0,0,0
Marc Pittonet,CAR,0.0695523,0,0,0,0,0,0
Marcus Bontempelli,WBD,2.37151,0,0,0,0,0,0
Marcus Windhager,STK,0.263065,0,0,0,-0.1,-1,0
Mark Blicavs,GEE,0.53847,0,0,0,-0.1,0,0
Mark Keane,ADE,0.120595,0,0,0,0,0,0
Mark O'Connor,GEE,0.61924,0,0,0,0,0,0
Marty Hore,MEL,0.041507,0,0,0,0,0,0
Mason Cox,COL,1.04833,0.1,0,0,0.1,0,0
Mason Redman,ESS,0.469478,0,0,0,0,0,0
Mason Wood,STK,0.279331,0,0,0,0,0,0
Massimo D'Ambrosio,HAW,2.18305,0,0,0,0,0,0
Mate Colina,RIC,0.114986,0,0,0,0,0,0
Matt Crouch,ADE,0.267552,0,0,0,0,0,0
Matt Duffy,CAR,0.717399,0.1,0,0,-0.1,-2,0
Matt Flynn,WCE,24.2749,19.6,18,10,-44.5,-46,-50
Matt Guelfi,ESS,0.0549688,0,0,0,0,0,0
Matt Hill,HAW,0.808826,0,0,0,-0.2,0,0
Matt Roberts,SYD,40.9753,90.6,90,100,11.4,12,30
Matt Rowell,GCS,3.79453,1.2,0,0,-4.3,-6,0
Matt Whitlock,NTH,5.00216,1,0,0,-0.5,-2,0
Mattaes Phillipou,STK,0.893523,0,0,0,0,0,0
Matthew Carroll,CAR,1.8336,0.2,0,0,-0.1,0,0
Matthew Cottrell,CAR,0.886231,0,0,0,0,0,0
Matthew Jefferson,MEL,0.417314,0.3,1,0,0.2,1,0
Matthew Johnson,FRE,0.201926,0,0,0,0,0,0
Matthew Kennedy,WBD,1.79322,0.5,2,0,-0.5,2,0
Matthew Owies,WCE,0.931104,0,0,0,0,0,0
Maurice Rioli,RIC,0.147518,0,0,0,0,0,0
Max Gawn,MEL,21.8759,15.2,10,0,-15.1,-18,-40
Max Gruzewski,GWS,2.55324,0.7,0,0,-0.2,-1,0
Max Hall,STK,23.4891,35.1,40,50,16.6,23,40
Max Heath,STK,0.970367,0.3,0,0,0.2,0,0
Max Holmes,GEE,26.1663,29.4,36,20,-13.7,-17,-30
Max King,STK,0.175003,0,0,0,0,0,0
Max Knobel,GCS,0.183416,0,0,0,0,0,0
Max Michalanney,ADE,0.282136,0,0,0,0,0,0
Max Ramsden,HAW,0.246799,0,0,0,0,0,0
Michael Frederick,FRE,0.446481,0,0,0,0,0,0
Michael Walters,FRE,0.202487,0,0,0,0,0,0
Miles Bergman,PTA,1.69057,0.7,1,0,0.1,1,0
Miller Bergman,NTH,0.213144,0,0,0,-0.1,0,0
Mitch Duncan,GEE,0.153688,0,0,0,0,0,0
Mitch Georgiades,PTA,0.323082,0,0,0,0,0,0
Mitch Knevitt,GEE,46.7246,88,88,100,5.09999999999999,8,20
Mitch Lewis,HAW,0.228289,0,0,0,0,0,0
Mitch McGovern,CAR,0.24175,0,0,0,0,0,0
Mitch Owens,STK,0.12396,0,0,0,0,0,0
Mitchell Edwards,GEE,0.149201,0,0,0,-0.1,0,0
Mitchell Hinge,ADE,0.288867,0,0,0,-0.1,0,0
Murphy Reid,FRE,18.0769,26.2,22,10,2.8,-6,-20
Mykelti Lefau,RIC,0.0746005,0,0,0,0,0,0
Nasiah Wanganeen-Milera,STK,11.097,12.5,13,10,2.6,2,0
Nat Fyfe,FRE,0.203048,0,0,0,0,0,0
Nate Caddy,ESS,2.63289,0.1,0,0,-0.1,-2,0
Nathan Broad,RIC,0.362345,0,0,0,0,0,0
Nathan O'Driscoll,FRE,34.7739,83.2,81,90,17.9,9,20
Nathan Wardius,GWS,0.0364589,0,0,0,0,0,0
Ned Bowman,SYD,0.0914277,0,0,0,0,0,0
Ned Long,COL,3.60887,1.9,0,0,1.8,0,0
Ned Moyle,GCS,0.0975976,0,0,0,0,0,0
Ned Reeves,HAW,0.539031,0,0,0,0,0,0
Neil Erasmus,FRE,15.5208,5.1,10,0,-3.2,4,-10
Nic Martin,ESS,5.55016,1,0,0,0.1,-2,0
Nic Newman,CAR,0.0863795,0,0,0,0,0,0
Nicholas Madden,GWS,0.159858,0,0,0,0,0,0
Nick Blakey,SYD,3.27064,0.2,0,0,-0.5,0,0
Nick Bryan,ESS,1.80219,0.6,0,0,0.5,0,0
Nick Coffield,WBD,0.262504,0,0,0,0,0,0
Nick Daicos,COL,30.8066,9.7,6,20,1.3,-2,10
Nick Haynes,CAR,1.01356,0,0,0,-0.2,-1,0
Nick Holman,GCS,1.25923,0,0,0,0,0,0
Nick Larkey,NTH,1.70515,0,0,0,-0.2,0,0
Nick Murray,ADE,0.825093,0,0,0,0,0,0
Nick Vlastuin,RIC,0.648968,0,0,0,-0.2,-1,0
Nick Watson,HAW,1.72198,0,0,0,0,0,0
Nik Cox,ESS,0.25409,0,0,0,0,0,0
Noah Anderson,GCS,6.52726,4.2,3,0,-12.3,-15,-20
Noah Answerth,BRL,0.55081,0.1,1,0,0,1,0
Noah Balta,RIC,0.178929,0,0,0,0,0,0
Noah Long,WCE,0.114986,0,0,0,0,0,0
Noah Mraz,HAW,0.138544,0,0,0,0,0,0
Odin Jones,FRE,0.0706742,0,0,0,0,0,0
Oisin Mullin,GEE,0.687671,0,0,0,0,0,0
Oleg Markov,COL,0.319716,0,0,0,0,0,0
Oliver Dempsey,GEE,0.683183,0,0,0,-0.1,-1,0
Oliver Florent,SYD,0.398243,0,0,0,0,0,0
Oliver Hannaford,GWS,0.491915,0,0,0,-0.3,-2,-10
Oliver Hayes-Brown,RIC,0.0992804,0,0,0,0,0,0
Oliver Henry,GEE,1.02085,0,0,0,0,0,0
Oliver Hollands,CAR,1.92335,1.1,2,20,-0.7,-2,10
Oliver Sestan,MEL,0.0370198,0,0,0,0,0,0
Oliver Wiltshire,GEE,0.149201,0.1,0,0,0.1,0,0
Ollie Lord,PTA,0.181173,0,0,0,0,0,0
Ollie Murphy,FRE,0.157615,0,0,0,0,0,0
Ollie Wines,PTA,0.302889,0.1,1,0,0,1,0
Orazio Fantasia,CAR,0.343274,0,0,0,0,0,0
Oscar Allen,WCE,0.814996,0,0,0,0,0,0
Oscar McDonald,FRE,0.289427,0,0,0,-0.1,0,0
Oscar McInerney,BRL,1.39834,0.3,0,0,0.2,0,0
Oscar Ryan,ADE,0.155371,0,0,0,0,0,0
Oscar Steene,COL,0.189586,0,0,0,0,0,0
Oskar Baker,WBD,0.163224,0,0,0,0,0,0
Paddy Dow,STK,0.0964758,0,0,0,0,0,0
Patrick Cripps,CAR,14.2605,6.6,9,30,-2.2,-2,10
Patrick Dangerfield,GEE,0.553614,0,0,0,0,0,0
Patrick Lipinski,COL,2.82024,0.3,2,0,-0.3,2,0
Patrick Retschko,GEE,0.99673,0.1,0,0,-0.1,0,0
Patrick Said,STK,0.260821,0,0,0,-0.1,0,0
Patrick Snell,SYD,0.0746005,0,0,0,0,0,0
Patrick Voss,FRE,0.0712351,0,0,0,0,0,0
Paul Curtis,NTH,0.250725,0,0,0,0,0,0
Peter Ladhams,SYD,0.458821,0,0,0,-0.1,0,0
Peter Wright,ESS,0.109938,0,0,0,0,0,0
Phoenix Gothard,GWS,0.0919886,0,0,0,0,0,0
Quinton Narkle,FRE,0.675892,0,0,0,0,0,0
Reece Torrent,BRL,0.146396,0,0,0,0,0,0
Reef McInnes,COL,0.847529,0,0,0,0,0,0
Reilly O'Brien,ADE,0.549127,0,0,0,0,0,0
Reuben Ginbey,WCE,0.652334,0.1,0,0,-0.2,-1,-10
Rhett Bazzo,WCE,0.126765,0,0,0,0,0,0
Rhyan Mansell,RIC,0.310181,0,0,0,0,0,0
Rhylee West,WBD,0.122838,0,0,0,0,0,0
Rhys Stanley,GEE,0.542957,0,0,0,0,0,0
Rhys Unwin,ESS,0.14247,0,0,0,0,0,0
Riak Andrew,SYD,0.163785,0,0,0,0,0,0
Ricky Mentha,MEL,6.40106,3.2,5,0,-0.6,1,0
Riley Bice,SYD,19.5436,27.2,28,20,17.6,20,20
Riley Garcia,WBD,0.0914277,0,0,0,0,0,0
Riley Hardeman,NTH,0.198561,0,0,0,0,0,0
Riley Thilthorpe,ADE,1.33552,0.2,0,0,-0.2,0,0
River Stevens,NTH,0.353932,0.1,0,0,0,0,0
Rob Monahan,CAR,0.0235581,0,0,0,0,0,0
Robbie Fox,SYD,0.223241,0,0,0,0,0,0
Robert Hansen Jr,NTH,0.731982,0,0,0,-0.1,0,0
Rory Atkins,PTA,0.286062,0,0,0,0,0,0
Rory Laird,ADE,0.624288,0.4,1,0,-0.3,1,0
Rory Lobb,WBD,0.948492,0,0,0,0,0,0
Rowan Marshall,STK,2.02936,0.4,1,0,0.1,0,0
Ryan Angwin,GWS,0.0504815,0,0,0,0,0,0
Ryan Burton,PTA,0.189586,0,0,0,0,0,0
Ryan Byrnes,STK,0.213705,0,0,0,0,0,0
Ryan Gardner,WBD,0.660186,0,0,0,0,0,0
Ryan Lester,BRL,0.382538,0,0,0,0,0,0
Ryan Maric,WCE,1.36468,0,0,0,0,0,0
Ryley Sanders,WBD,23.9585,12.4,10,10,-8.9,-10,-20
Saad El-Hawli,ESS,14.113,2.5,5,0,-3.2,0,-10
Sam Banks,RIC,0.38983,0,0,0,-0.1,0,0
Sam Berry,ADE,0.292793,0,0,0,0,0,0
Sam Butler,HAW,0.127326,0,0,0,0,0,0
Sam Clohesy,GCS,0.204731,0,0,0,0,0,0
Sam Collins,GCS,0.182855,0,0,0,0,0,0
Sam Darcy,WBD,6.4779,2.1,2,0,1.2,1,0
Sam Davidson,WBD,63.3145,98.5,96,100,3.40000000000001,1,0
Sam Day,BRL,0.173881,0,0,0,0,0,0
Sam De Koning,GEE,24.594,30.9,30,0,6.2,-9,-40
Sam Docherty,CAR,0.568759,0,0,0,0,0,0
Sam Draper,ESS,4.26008,0.3,1,0,-0.5,0,0
Sam Durham,ESS,1.34898,0,0,0,-0.2,-1,0
Sam Flanders,GCS,2.52912,0,0,0,-0.2,0,0
Sam Frost,HAW,1.4348,0,0,0,0,0,0
Sam Lalor,RIC,29.8991,18.2,19,20,-8.5,-13,-10
Sam Marshall,BRL,0.585025,0.2,0,0,0.2,0,0
Sam Powell-Pepper,PTA,20.7603,27.2,28,10,7.8,8,-10
Sam Sturt,FRE,0.0516034,0,0,0,0,0,0
Sam Switkowski,FRE,0.289988,0,0,0,0,0,0
Sam Taylor,GWS,4.73461,0.4,0,0,-2,0,0
Sam Walsh,CAR,2.04843,0.3,0,0,-0.3,0,0
Sam Wicks,SYD,0.820605,0.1,0,0,-0.5,-2,0
Samson Ryan,RIC,1.12462,0,0,0,-0.1,0,0
Sandy Brock,WCE,1.23399,0.3,0,0,0,-1,0
Scott Pendlebury,COL,0.417314,0,0,0,0,0,0
Seamus Mitchell,HAW,0.305133,0,0,0,0,0,0
Sean Darcy,FRE,0.183977,0,0,0,0,0,0
Sean Lemmens,GCS,0.163785,0,0,0,0,0,0
Seth Campbell,RIC,0.24175,0.1,0,0,0.1,0,0
Shadeau Brain,BRL,0.176685,0,0,0,0,0,0
Shai Bolton,FRE,4.67235,0.2,1,0,-0.1,1,0
Shane McAdam,MEL,0.0403852,0,0,0,0,0,0
Shannon Neale,GEE,0.479575,0.1,0,0,0,0,0
Shaun Mannagh,GEE,0.109377,0,0,0,0,0,0
Sid Draper,ADE,20.4568,2.6,1,0,-3.2,-6,-20
Steele Sidebottom,COL,0.49528,0,0,0,0,0,0
Steely Green,RIC,0.306255,0,0,0,-0.1,0,0
Stephen Coniglio,GWS,0.255212,0,0,0,0,0,0
Steven May,MEL,0.65626,0,0,0,0,0,0
Taj Hotton,RIC,0.40273,0,0,0,0,0,0
Taj Woewodin,MEL,1.47574,0,0,0,-0.2,0,0
Tanner Bruhn,GEE,0.182294,0,0,0,0,0,0
Taylor Adams,SYD,0.26026,0,0,0,0,0,0
Taylor Duryea,WBD,0.743761,0,0,0,-0.1,-1,0
Taylor Goad,NTH,0.143592,0.1,0,0,0.1,0,0
Taylor Walker,ADE,0.329813,0,0,0,-0.1,0,0
Ted Clohesy,GEE,0.769563,0.2,0,0,0.1,0,0
Tew Jiath,COL,0.444798,0,0,0,0,0,0
Thomas Berry,GCS,0.0998413,0,0,0,0,0,0
Thomas Edwards,ESS,2.54203,2,2,20,0.3,1,10
Thomas Sims,RIC,6.72695,0.7,1,0,-1.4,-1,-10
Thomson Dow,RIC,0.320838,0,0,0,0,0,0
Tim English,WBD,5.43237,0.3,0,0,-0.2,0,0
Tim Kelly,WCE,0.269235,0,0,0,0,0,0
Tim Membrey,COL,1.34786,0,0,0,0,0,0
Tim Taranto,RIC,0.795365,0,0,0,-0.1,0,0
Tobie Travaglia,STK,12.5385,0.6,2,0,-2.4,0,0
Toby Bedford,GWS,1.4634,0,0,0,0,0,0
Toby Conway,GEE,0.197439,0,0,0,0,0,0
Toby Greene,GWS,2.33617,0,0,0,-0.5,-1,0
Toby McMullin,GWS,0.0286062,0,0,0,0,0,0
Toby Murray,ADE,0.110498,0,0,0,0,0,0
Toby Nankervis,RIC,2.79668,1.8,1,0,-2,-6,0
Toby Pink,NTH,0.154249,0,0,0,0,0,0
Todd Goldstein,ESS,0.313546,0,0,0,0,0,0
Todd Marshall,PTA,0.0443116,0,0,0,0,0,0
Tom Anastasopoulos,PTA,0.0504815,0,0,0,0,0,0
Tom Atkins,GEE,0.200804,0,0,0,0,0,0
Tom Barrass,HAW,1.20931,0,0,0,0,0,0
Tom Brown,RIC,0.908107,0,0,0,-0.2,0,0
Tom Campbell,MEL,0.81107,0,0,0,0,0,0
Tom Cochrane,PTA,1.78985,0.4,1,0,-0.1,0,0
Tom Cole,WCE,0.204731,0,0,0,0,0,0
Tom De Koning,CAR,49.6037,94.7,98,100,0.5,5,10
Tom Doedee,BRL,0.205852,0,0,0,0,0,0
Tom Fullarton,MEL,0.071796,0,0,0,0,0,0
Tom Green,GWS,1.27494,0.2,0,0,-0.5,-1,0
Tom Gross,WCE,0.528373,0.3,1,0,-0.4,0,0
Tom Hanily,SYD,3.95383,1.9,2,0,0.4,1,-10
Tom Liberatore,WBD,3.8265,15.8,26,10,7.7,20,0
Tom Lynch,RIC,17.2714,5.1,6,10,-6.9,-6,0
Tom McCartin,SYD,0.572685,0.1,0,0,-0.1,-1,0
Tom McDonald,MEL,0.166028,0,0,0,0,0,0
Tom Mitchell,COL,0.159297,0,0,0,0,0,0
Tom Papley,SYD,0.642798,0,0,0,0,0,0
Tom Powell,NTH,1.22895,2.2,1,0,1.4,-1,0
Tom Sparrow,MEL,0.288306,0,0,0,0,0,0
Tom Stewart,GEE,8.96159,3.9,9,0,-6.9,-5,-50
Touk Miller,GCS,0.740396,0.1,0,0,-0.4,0,0
Travis Boak,PTA,0.222119,0,0,0,-0.1,0,0
Trent Rivers,MEL,2.58297,0.1,0,0,-0.3,0,0
Tristan Xerri,NTH,52.9871,83.7,83,90,22.5,25,30
Ty Gallop,BRL,0.539031,0.1,0,0,0,0,0
Tylar Young,RIC,0.059456,0,0,0,0,0,0
Tyler Brockman,WCE,0.107133,0,0,0,0,0,0
Tyler Sonsie,RIC,0.274283,0,0,0,0,0,0
Tyler Welsh,ADE,0.351127,0,0,0,-0.1,0,0
Tyrell Dewar,WCE,0.514912,0,0,0,0,0,0
Tyson Stengle,GEE,1.31252,0.1,1,0,0.1,1,0
Vigo Visentini,ESS,0.0813314,0,0,0,0,0,0
Wade Derksen,GWS,0.0375807,0,0,0,0,0,0
Wayne Milera,ADE,4.01216,1.9,1,0,-0.1,1,0
Wil Dawson,NTH,0.411144,0,0,0,0,0,0
Wil Parker,COL,0.379172,0,0,0,0,0,0
Wil Powell,GCS,0.484062,0,0,0,-0.2,-1,0
Will Ashcroft,BRL,18.1201,17.3,12,0,5.8,7,0
Will Brodie,FRE,0.417314,0,0,0,0,0,0
Will Day,HAW,39.9735,16.7,10,0,-14.5,-11,-10
Will Graham,GCS,0.136861,0,0,0,0,0,0
Will Hayward,SYD,0.444798,0,0,0,0,0,0
Will Hoskin-Elliott,COL,0.249603,0,0,0,0,0,0
Will Lorenz,PTA,0.367393,0,0,0,0,0,0
Will McLachlan,BRL,0.112742,0,0,0,0,0,0
Will Phillips,NTH,0.201926,0,0,0,0,0,0
Will Setterfield,ESS,0.253529,0,0,0,0,0,0
Will Verrall,MEL,0.0852577,0,0,0,0,0,0
Will White,CAR,1.09825,0.1,0,0,-0.1,0,0
Willem Drew,PTA,0.220436,0,0,0,0,0,0
William Edwards,SYD,0.047677,0,0,0,0,0,0
William Green,SYD,0.14247,0,0,0,0,0,0
William Hayes,COL,0.685427,0.1,0,0,0.1,0,0
William McCabe,HAW,0.16715,0,0,0,0,0,0
Willie Rioli,PTA,0.258017,0,0,0,0,0,0
Xavier Duursma,ESS,0.314668,0,0,0,0,0,0
Xavier Ivisic,GEE,0.7303,0,0,0,-0.2,-1,0
Xavier Lindsay,MEL,15.5231,34.5,38,50,29.5,34,50
Xavier O'Halloran,GWS,0.919886,0,0,0,0,0,0
Xavier Walsh,PTA,0.0673087,0,0,0,0,0,0
Zac Bailey,BRL,2.48481,0.5,1,0,0.5,1,0
Zac Fisher,NTH,0.132374,0,0,0,0,0,0
Zac Taylor,ADE,0.666917,0,0,0,0,0,0
Zac Williams,CAR,1.1134,0,0,0,0,0,0
Zach Guthrie,GEE,0.691036,0,0,0,-0.2,0,0
Zach Merrett,ESS,8.34235,3,4,0,1.6,4,0
Zach Reid,ESS,65.99,93.6,94,100,2.89999999999999,11,40
Zaine Cordy,STK,0.255773,0,0,0,0,0,0
Zak Butters,PTA,1.04721,0,0,0,0,0,0
Zak Evans,GCS,1.97215,0.6,2,0,-0.3,1,0
Zak Johnson,ESS,0.210901,0,0,0,0,0,0
Zak Jones,STK,0.233337,0,0,0,0,0,0
Zane Duursma,NTH,0.619801,0,0,0,0,0,0
Zane Zakostelsky,BRL,0.391512,0,0,0,0,0,0
